parcel_id,street_address,neighborhood,zoning_district,is_split_zoned,lot_area_sf,lot_width_ft,is_conforming,year_built,property_type,current_gfa_sf,current_stories,land_value,improvement_value,max_footprint_sf,max_gfa_sf,max_height_ft,available_gfa_sf,gfa_utilization_pct,development_status,gfa_source,est_value_low,est_value_high,valuation_confidence,neighborhood_imp_rate_median,neighborhood_imp_rate_low,neighborhood_imp_rate_high,neighborhood_imp_rate_sample,spot_check_result,spot_check_notes,spot_check_date
23015002,"3931 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,6874.0,46.7,False,1941.0,511-Single Family Detached,1007.0,,637400.0,153900.0,2062.2,5155.5,35,4148.5,19.532538066142955,underdeveloped,estimated_from_improvement_value,282094.7813015227,829700.0,high,152.83,136.62,169.03,12,,,
23019011,"618 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,True,7150.0,65.0,True,1952.0,511-Single Family Detached,1561.0,,642300.0,238500.0,2145.0,5362.5,35,3801.5,29.10955710955711,underdeveloped,estimated_from_improvement_value,250431.12307692308,760300.0,high,152.83,136.62,169.03,12,,,
23018017,"625 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,6880.0,66.0,True,1940.0,511-Single Family Detached,2465.0,,637500.0,376800.0,2064.0,5160.0,35,2695.0,47.77131782945737,underdeveloped,estimated_from_improvement_value,183126.81686046513,539000.0,high,152.83,136.62,169.03,12,,,
23019012,"624 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,True,7150.0,64.8,True,1952.0,511-Single Family Detached,1038.0,,642300.0,158600.0,2145.0,5362.5,35,4324.5,19.356643356643357,underdeveloped,estimated_from_improvement_value,284884.75384615385,864900.0,high,152.83,136.62,169.03,12,,,
23015001,"3935 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,11183.0,81.6,True,2020.0,511-Single Family Detached,5673.0,,714900.0,867000.0,2520.0,6300.0,35,627.0,90.04761904761904,near-capacity,estimated_from_improvement_value,39132.26428571429,125400.0,high,152.83,136.62,169.03,12,confirmed,Developed single-family lot confirmed for inclusion; split-zone flag does not affect analysis,2026-02-19
23015003,"3927 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,7743.6,50.6,False,1941.0,511-Single Family Detached,2074.0,,652500.0,317000.0,2323.08,5807.7,35,3733.7,35.711210978528506,underdeveloped,estimated_from_improvement_value,230716.39160080583,746740.0,high,152.83,136.62,169.03,12,,,
23019009,"606 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,True,7816.0,70.1,True,1956.0,511-Single Family Detached,1100.0,,654300.0,168100.0,2344.7999999999997,5861.999999999999,35,4761.999999999999,18.76492664619584,underdeveloped,estimated_from_improvement_value,292336.59672466735,952399.9999999998,high,152.83,136.62,169.03,12,,,
23018019,"613 S Quincy St, Arlington VA 22204",Alcova Heights,R-6,False,10352.0,66.0,True,1937.0,511-Single Family Detached,1246.0,,700000.0,190500.0,2520.0,6300.0,35,5054.0,19.77777777777778,underdeveloped,estimated_from_improvement_value,308855.5555555556,1010800.0,high,152.83,136.62,169.03,12,,,
23018020,"3920 6Th St S, Arlington VA 22204",Alcova Heights,R-6,False,6410.0,47.4,False,1962.0,511-Single Family Detached,1133.0,,629000.0,173100.0,1923.0,4807.5,35,3674.5,23.56734269370775,underdeveloped,estimated_from_improvement_value,264418.77795111807,734900.0,high,152.83,136.62,169.03,12,,,
23015030,"3527 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,8108.0,49.1,False,1932.0,511-Single Family Detached,1579.0,,659600.0,241300.0,2432.4,6081.0,35,4502.0,25.966123992764352,underdeveloped,estimated_from_improvement_value,268580.09537904954,900400.0,high,152.83,136.62,169.03,12,,,
23015029,"3529 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,8236.0,49.2,False,1936.0,511-Single Family Detached,923.0,,661900.0,141100.0,2470.7999999999997,6176.999999999999,35,5253.999999999999,14.942528735632186,underdeveloped,estimated_from_improvement_value,309647.47126436786,1050799.9999999998,high,152.83,136.62,169.03,12,,,
23015025,"3611 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,8748.0,49.1,False,1938.0,511-Single Family Detached,1556.0,,671100.0,237800.0,2520.0,6300.0,35,4744.0,24.698412698412696,underdeveloped,estimated_from_improvement_value,277941.9238095238,948800.0,high,152.83,136.62,169.03,12,,,
23015023,"3617 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,9004.0,49.2,False,1951.0,511-Single Family Detached,2194.0,,675700.0,335300.0,2520.0,6300.0,35,4106.0,34.82539682539682,underdeveloped,estimated_from_improvement_value,242211.63650793655,821200.0,high,152.83,136.62,169.03,12,,,
23015018,"3709 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,16854.0,73.7,True,1948.0,511-Single Family Detached,2905.0,,817000.0,443900.0,2520.0,6300.0,35,3395.0,46.111111111111114,underdeveloped,estimated_from_improvement_value,242149.72222222222,679000.0,high,152.83,136.62,169.03,12,,,
23015017,"3801 6Th St S, Arlington VA 22204",Alcova Heights,R-6,True,16014.0,71.5,True,1940.0,511-Single Family Detached,972.0,,801900.0,148500.0,2520.0,6300.0,35,5328.0,15.428571428571427,underdeveloped,estimated_from_improvement_value,372998.05714285723,1065600.0,high,152.83,136.62,169.03,12,,,
